"","Yam & potatoe peel","Plantain peel","Egg shell","Vegetables and Fruits","Empty drink cans","Bottle caps","Bent spoons and cups","Electrical and Mechanical parts","Pet bottles","Empty Water Sachets","Plastic Bottles","Fast-Food Packets","Paper and Cartons","Glass"
"Plastic.Bottles",0.178555233217708,-0.255321333749576,0.0288992528338471,0.122959450362643,-0.0720205037867352,0.115271536022825,-0.183688598413806,0.0364109719438612,-0.0664757487885674,0.0683129202589038,1,-0.0445605995657983,-0.265574468509138,-0.121955924513432
"Fast.Food.Packets",0.0538636273621113,0.00621112536918856,0.0689497234784979,0.218505605126265,0.209477260105189,-0.189483840442354,-0.0356373905902838,0.162434578473983,0.0552407381684501,-0.200899253386781,-0.0445605995657983,1,-0.0653495247239902,0.0180264810307975
"Paper.and.Cartons",0.0581159325643184,-0.229880459248678,-0.196388268185924,0.0753221695980871,0.105131784207894,-0.143191306898582,-0.0559343114377678,0.0373625079271457,0.069479738754017,-0.00600485393787997,-0.265574468509138,-0.0653495247239902,1,0.111252138757297
"Glass",0.0412583133202319,-0.0606696264675618,0.138602201286636,0.0323745873024848,-0.238402083391017,-0.00806919874576531,-0.0522186331320388,-0.0217974619675133,0.217345856077151,-0.193587361228736,-0.121955924513432,0.0180264810307975,0.111252138757297,1
"Yam...potatoe.peel.1",1,0.0688239272248014,0.0958119710745955,-0.185765813246329,0.00482937349052782,-0.0657883401594005,0.102845226623651,0.101349677862245,-0.0584134300155885,0.049907195214869,-0.0131495315233784,0.067427795223089,-0.206952230656109,-0.0353249470191186
"Plantain.peel.1",0.0688239272248014,1,0.102163969183191,-0.246804032619902,-0.0979242046182855,0.18894271461846,0.143161944712541,0.135361346072908,-0.0371054803981731,-0.189327004871478,-0.142060477799232,0.0460566806447144,-0.0515664407062067,-0.0517829664428589
"Egg.shell.1",0.0958119710745955,0.102163969183191,1,-0.00483545283295738,-0.019738764513148,-0.143697048763846,-0.208564087250062,0.010235569093924,0.0198035659442009,-0.023380318874965,0.106685643999863,0.0566554852589807,0.0964276061398267,-0.0352488990539639
"Vegetables.and.Fruits.1",-0.185765813246329,-0.246804032619902,-0.00483545283295738,1,-0.0513862188540763,-0.0968303957624048,-0.082838854908317,-0.220006492290404,0.139307694506368,-0.174388465701395,0.118680323856216,-0.109995840246049,0.0559972436625095,-0.0934623932683407
"Empty.drink.cans.1",0.00482937349052782,-0.0979242046182855,-0.019738764513148,-0.0513862188540763,1,0.056731100501957,0.147216508899784,0.00856835784037071,0.0972890029596886,-0.153110627046876,-0.0609692044775167,0.149977327233099,-0.188910023664088,0.0981127451714298
"Bottle.caps.1",-0.0657883401594005,0.18894271461846,-0.143697048763846,-0.0968303957624048,0.056731100501957,1,0.0083977782596077,0.0684430330764542,0.217533876212485,0.130966255310929,-0.0887485741908264,0.0480308341517089,-0.192692572722779,0.177433638263007
"Bent.spoons.and.cups.1",0.102845226623651,0.143161944712541,-0.208564087250062,-0.082838854908317,0.147216508899784,0.0083977782596077,1,0.080548586709884,0.174129158801403,0.284954899331558,0.0909688914251804,0.0862917118577435,0.0396188891375231,0.0053402896029471
"Electrical.and.Mechanical.parts.1",0.101349677862245,0.135361346072908,0.010235569093924,-0.220006492290404,0.00856835784037071,0.0684430330764542,0.080548586709884,1,-0.0107297830096912,-0.103604968698406,0.0831180825802827,-0.211143528351533,0.0996039895146761,0.247476768532098
"Pet.bottles.1",-0.0584134300155885,-0.0371054803981731,0.0198035659442009,0.139307694506368,0.0972890029596886,0.217533876212485,0.174129158801403,-0.0107297830096912,1,0.0695707212232613,-0.232445438499747,0.118255042861355,-0.0140955967775661,-0.215961970664366
"Empty.Water.Sachets.1",0.049907195214869,-0.189327004871478,-0.023380318874965,-0.174388465701395,-0.153110627046876,0.130966255310929,0.284954899331558,-0.103604968698406,0.0695707212232613,1,-0.159869269304509,0.197695367061472,-0.0479039831681697,-0.080677757957779
"Plastic.Bottles.1",-0.0131495315233784,-0.142060477799232,0.106685643999863,0.118680323856216,-0.0609692044775167,-0.0887485741908264,0.0909688914251804,0.0831180825802827,-0.232445438499747,-0.159869269304509,1,-0.232191484884205,0.101445252757641,-0.0869891498915077
